SPKID,SubjectID
CBK91772,57222
CBK91772,57225
CBK91772,57227
CBK91772,57228
CBK91772,57230
CBK91772,57231
CBK91772,57232
CBK91772,57233
CBK91772,57235
CBK91772,57236
CBK91772,57303
CBK91772,59356
CBK91772,59721
CBK91773,25773
CBK91773,25775
CBK91773,25888
CBK91773,77980
CBK91773,79708
CBK91774,57142
CBK91774,57222
CBK91774,57225
CBK91774,57227
CBK91774,57228
CBK91774,57230
CBK91774,57231
CBK91774,57232
CBK91774,57233
CBK91774,57235
CBK91774,57236
CBK91774,57303
CBK91774,59356
CBK91774,59721
CBK91782,41276
CBK91782,41277
CBK91782,41278
CBK91782,42090
CBK91782,42091
CBK91782,42092
CBK91782,43123
CBK91782,48434
CBK91782,48451
CBK91782,48550
CBK91782,48560
CBK91782,48561
CBK91782,48570
CBK91782,48571
CBK91782,48572
CBK91782,48580
CBK91782,48582
CBK91782,48583
CBK91782,49274
CBK91783,41276
CBK91783,41277
CBK91783,41278
CBK91783,42090
CBK91783,42091
CBK91783,42092
CBK91783,48434
CBK91783,48451
CBK91783,48550
CBK91783,48560
CBK91783,48561
CBK91783,48570
CBK91783,48571
CBK91783,48572
CBK91783,48580
CBK91783,48582
CBK91783,48583
CBK91783,49274
CBK91784,41276
CBK91784,41277
CBK91784,41278
CBK91784,42090
CBK91784,42091
CBK91784,42092
CBK91784,43123
CBK91784,48434
CBK91784,48451
CBK91784,48550
CBK91784,48560
CBK91784,48561
CBK91784,48570
CBK91784,48571
CBK91784,48572
CBK91784,48580
CBK91784,48582
CBK91784,48583
CBK91784,49274
CBK91785,15314
CBK91785,15317
CBK91785,15325
CBK91785,15327
CBK91785,15328
CBK91785,15336
CBK91785,15346
CBK91785,15348
CBK91785,15360
CBK91785,15362
CBK91785,15364
CBK91787,49131
CBK91787,49133
CBK91787,49134
CBK91787,49150
CBK91788,49106
CBK91788,49134
CBK91788,49151
CBK91788,49255
CBK91789,49118
CBK91789,49119
CBK91789,49254
CBK91789,49258
CBK91807,36101
CBK91807,36109
