SPKID,SPKID2
CBK91868,SMJ09037
CBK91868,SMJ10087
CBK91868,SMJ10099
CBK91868,SMJ10103
CBK91868,SMJ10104
CBK91868,SMJ10105
CBK91868,SMJ10106
CBK91868,SMJ10107
CBK91868,SMJ10108
CBK91868,SMJ10109
CBK91868,SMJ10110
CBK91868,SMJ10111
CBK91868,SMJ10112
CBK91868,SMJ10113
CBK91868,SMJ10118
CBK91868,SMJ10122
CBK91868,SMJ10123
CBK91868,SMJ10151
CBK91870,CBK91869
CBK91870,SMJ02038
CBK91870,SMJ08037
CBK91870,SMJ08201
CBK91870,SMJ10028
CBK91870,SMJ10099
CBK91870,SMJ10104
CBK91870,SMJ10107
CBK91870,SMJ10108
CBK91870,SMJ10109
CBK91870,SMJ10110
CBK91870,SMJ10111
CBK91870,SMJ10112
CBK91870,SMJ10113
CBK91870,SMJ10123
CBK91870,SMJ10148
CBK91875,STM91306
CBK91875,STM91307
CBK91875,STM91308
CBK91875,STM91309
CBK91875,STM91718
CBK91885,MAJ06239
CBK91885,MAJ06241
CBK91885,MAJ06242
CBK91885,STM91438
CBK91888,CBK91889
CBK91888,MAJ06243
CBK91888,MAJ06244
CBK91888,SMJ10128
CBK91888,SMJ10129
CBK91888,SMJ10130
CBK91894,STM91450
CBK91894,STM91451
CBK91903,CBK90216
CBK91903,MAJ02902
CBK91903,MAJ08983
CBK91903,MAJ08984
CBK91903,MAJ08985
CBK91903,MAJ08986
CBK91903,MAJ08987
CBK91903,MAJ08988
CBK91903,MAJ08989
CBK91903,MAJ08990
CBK91903,MAJ08991
CBK91903,MAJ09446
CBK91903,MAJ10057
CBK91903,SMJ02038
CBK91903,SMJ08037
CBK91903,SMJ08038
CBK91903,SMJ08066
CBK91903,SMJ08075
CBK91903,SMJ08084
CBK91903,SMJ08086
CBK91903,SMJ08098
CBK91903,SMJ08111
CBK91903,SMJ08147
CBK91903,SMJ08148
CBK91903,SMJ08153
CBK91903,SMJ08155
CBK91903,SMJ08205
CBK91903,SMJ08208
CBK91903,SMJ08209
CBK91903,SMJ08213
CBK91903,SMJ09037
CBK91903,SMJ10028
CBK91903,SMJ10076
CBK91903,SMJ10087
CBK91903,SMJ10161
CBK91904,CBK91834
CBK91904,CBK91905
CBK91904,SMJ02038
CBK91904,SMJ08037
CBK91904,SMJ08038
CBK91904,SMJ08066
CBK91904,SMJ08075
CBK91904,SMJ08084
CBK91904,SMJ08086
CBK91904,SMJ08098
CBK91904,SMJ08111
CBK91904,SMJ08147
CBK91904,SMJ08148
CBK91904,SMJ08153
CBK91904,SMJ08155
CBK91904,SMJ08205
CBK91904,SMJ08208
CBK91904,SMJ08209
CBK91904,SMJ08213
CBK91904,SMJ09037
CBK91904,SMJ10028
CBK91904,SMJ10076
CBK91904,SMJ10087
CBK91909,MAJ06245
CBK91909,MAJ06246
CBK91909,MAJ06247
CBK91909,MAJ06248
CBK91909,MAJ06249
CBK91909,STM91563
CBK91910,STM91467
CBK91910,STM91468
CBK91910,STM91469
CBK91910,STM91470
CBK91915,CBK91987
CBK91916,CBK91917
CBK91916,CBK91986
CBK91918,CBK91917
CBK91919,MAJ06213
CBK91919,MAJ06218
CBK91919,MAJ06219
CBK91919,MAJ06251
CBK91919,MAJ06252
CBK91919,MAJ07051
CBK91919,MAJ08955
CBK91919,STM90996
CBK91920,CBK91922
CBK91920,CBK91923
CBK91922,MAJ07122
CBK91922,MAJ07123
CBK91922,MAJ07125
CBK91922,MAJ07127
CBK91922,MAJ07128
CBK91923,MAJ07120
CBK91923,MAJ07121
CBK91923,MAJ07124
CBK91923,MAJ07126
CBK91923,MAJ07129
CBK91923,MAJ07137
CBK91923,MAJ07138
CBK91923,MAJ07139
CBK91923,MAJ07140
CBK91923,MAJ07141
CBK91926,STM91495
CBK91926,STM91496
CBK91926,STM91497
CBK91927,MAJ07131
CBK91927,MAJ07132
