CourseID,SPKID
C10327,CBK90782
C10327,STM90651
C10327,STM90839
C10328,CBK90911
C10328,STM90825
C10328,STM90839
C10329,STM90744
C10329,STM90745
C10329,STM90746
C10329,STM90839
C10330,CBK90653
C10330,STM90839
C10338,STM90691
C10338,STM90839
C10340,STM90842
C10340,STM90843
C10340,STM90844
C10340,STM90845
C10340,STM90846
C10340,STM90847
C10342,CBK91013
C10342,CBK92010
C10342,STM90928
C10343,CBK91013
C10343,CBK92010
C10343,CBK92057
C10343,STM90928
C10345,CBK90781
C10345,CBK90782
C10345,STM90651
C10345,STM90990
C10347,CBK92137
C10347,CBK92205
C10348,CBK91076
C10348,STM91017
C10348,STM91018
C10351,STM90839
C10351,STM91471
C10352,CBK90232
C10352,CBK92205
C10352,STM90839
C10355,CBK91261
C10355,CBK92011
C10355,STM90839
C10355,STM91810
C10359,CBK92094
C10359,CBK92229
C10359,MAJ09479
C10359,STM90839
C10359,STM91104
C10360,CBK91909
C10361,CBK92062
C10361,CBK92093
C10361,MAJ09478
C10361,STM91104
C10362,CBK92062
C10362,CBK92096
C10362,MAJ09481
C10362,STM91104
C10363,CBK92062
C10363,CBK92095
C10363,MAJ09480
C10363,STM91104
C10364,CBK92061
C10364,CBK92062
C10364,MAJ09476
C10364,STM91104
C10365,CBK92057
C10365,CBK92062
C10365,CBK92093
C10365,MAJ09478
C10365,STM91104
C10366,CBK92057
C10366,CBK92062
C10366,CBK92096
C10366,MAJ09481
C10366,STM91104
C10367,CBK92057
C10367,CBK92062
C10367,CBK92095
C10367,MAJ09480
C10367,STM91104
C10368,CBK92057
C10368,CBK92061
C10368,CBK92062
C10368,MAJ09476
C10368,STM91104
C10369,CBK92062
C10369,CBK92092
C10369,MAJ09477
C10369,STM91104
C10370,CBK92057
C10370,CBK92062
C10370,CBK92092
C10370,MAJ09477
C10370,STM91104
C10371,CBK92062
C10371,CBK92094
C10371,MAJ09479
C10371,STM91104
C10372,CBK92057
C10372,CBK92062
C10372,CBK92094
C10372,MAJ09479
C10372,STM91104
C10373,CBK92096
C10373,CBK92229
C10373,MAJ09481
C10373,STM90839
C10373,STM91104
C10374,CBK92095
C10374,CBK92229
C10374,MAJ09480
C10374,STM90839
C10374,STM91104
C10375,CBK92061
C10375,CBK92229
C10375,MAJ09476
C10375,STM90839
C10375,STM91104
C10376,CBK92093
C10376,CBK92229
C10376,MAJ09478
C10376,STM90839
C10376,STM91104
C10377,CBK92092
C10377,CBK92229
C10377,MAJ09477
C10377,STM90839
C10377,STM91104
C10378,CBK92067
C10378,MAJ09477
C10378,STM90691
C10378,STM91104
C10379,CBK92067
C10379,MAJ09479
C10379,STM90691
C10379,STM91104
C10380,CBK92067
C10380,MAJ09478
C10380,STM90691
C10380,STM91104
C10381,CBK92067
C10381,MAJ09481
C10381,STM90691
C10381,STM91104
C10382,CBK92067
C10382,MAJ09480
C10382,STM90691
C10382,STM91104
C10383,CBK92067
C10383,MAJ09476
C10383,STM90691
C10383,STM91104
C10386,CBK91208
C10386,STM90691
C10386,STM91017
C10387,CBK91225
C10387,CBK92137
C10387,STM91180
C10388,CBK90232
C10388,CBK91225
C10388,CBK92057
C10388,STM91180
C10389,CBK90232
C10389,CBK91225
C10389,STM90839
C10389,STM91180
C10391,CBK91230
C10391,STM90691
C10391,STM91181
C10392,CBK90005
C10392,CBK91266
C10395,CBK90783
C10395,STM91373
C10395,STM91771
C10395,STM91772
C10396,CBK91909
C10396,CBK92057
C10399,CBK91944
C10399,STM91519
C10399,STM91521
C10404,CBK91926
C10404,CBK91927
C10404,STM91579
C10405,CBK91929
C10405,CBK91930
C10405,MAJ09477
C10405,STM91104
C10405,STM91579
C10406,MAJ03538
C10406,MAJ07129
C10406,STM90356
C10406,STM91579
C10408,CBK90011
C10408,CBK91933
C10408,CBK92027
C10410,CBK91943
C10410,STM91460
C10410,STM91520
C10411,CBK90169
C10411,CBK91945
C10411,STM90273
C10411,STM91519
C10412,CBK91013
C10412,CBK91945
C10412,STM90928
C10412,STM91519
C10413,CBK90795
C10413,CBK91801
C10413,STM90794
C10413,STM91342
C10417,CBK91972
C10417,STM91471
C10444,CBK91799
C10444,CBK91972
C10444,STM91340
C10445,CBK91208
C10445,CBK92049
C10445,STM91017
C10445,STM91520
C10446,CBK92041
C10446,STM91629
C10447,CBK92041
C10447,CBK92057
C10447,STM91629
C10448,CBK91230
C10448,CBK92043
C10448,STM91629
C10448,STM91630
C10449,CBK92048
C10449,STM90273
C10449,STM91579
C10450,CBK91076
C10450,MAJ07143
C10450,STM91017
C10450,STM91579
C10450,STM91705
C10451,CBK92062
C10451,CBK92097
C10451,MAJ09482
C10451,STM91104
C10452,CBK92057
C10452,CBK92062
C10452,CBK92097
C10452,MAJ09482
C10452,STM91104
C10454,CBK92097
C10454,CBK92229
C10454,MAJ09482
C10454,STM90839
C10454,STM91104
C10455,CBK92067
C10455,MAJ09482
C10455,STM90691
C10455,STM91104
C10456,CBK92067
C10456,MAJ09482
C10456,STM90691
C10456,STM91104
C10457,CBK90232
C10457,CBK92046
C10457,STM91631
C10458,CBK90232
C10458,CBK92046
C10458,CBK92057
C10458,STM91631
C10460,CBK92055
C10460,STM91638
C10460,STM91639
C10461,CBK92055
C10461,STM90839
C10461,STM91638
C10461,STM91639
C10462,CBK92055
C10462,CBK92057
C10462,STM91638
C10462,STM91639
C10465,CBK92109
C10465,MAJ10063
C10465,STM90839
C10465,STM91672
C10466,CBK91909
C10466,STM90839
C10468,CBK90169
C10468,CBK92162
C10468,STM91460
C10468,STM91735
C10469,CBK91013
C10469,STM90928
C10469,STM91460
C10470,CBK91208
C10470,CBK92161
C10470,STM91017
C10470,STM91734
C10471,CBK90783
C10471,CBK92165
C10471,STM90651
C10471,STM91737
C10472,CBK92164
C10472,CBK92187
C10472,STM90651
C10472,STM91629
C10472,STM91737
C10473,CBK90783
C10473,CBK92057
C10473,CBK92165
C10473,STM90651
C10473,STM91737
C10474,CBK90783
C10474,CBK92166
C10474,STM90651
C10474,STM91743
C10475,CBK90783
C10475,CBK92057
C10475,CBK92166
C10475,STM90651
C10475,STM91743
C10476,CBK92195
C10476,STM91764
C10476,STM91765
C11005,STM91311
C11021,STM91679
C11024,STM91694
C11037,STM91686
C11038,STM91690
C11053,CBK91936
C11053,STM91501
C11071,CBK90260
C11071,STM90813
C11130,STM90743
C11142,CBK91024
C11142,STM90962
C11198,STM91698
C11199,STM91787
C11210,STM91543
C11211,STM90841
C11216,CBK90642
C11216,CBK90648
C11225,STM91549
C11228,CBK92155
C11228,STM91722
C11229,CBK90712
C11232,CBK90399
C11232,STM90792
C11236,CBK90230
C11236,CBK90715
C11236,CBK90956
C11237,CBK90230
C11237,CBK90956
C11237,STM90864
C11238,CBK90230
C11238,CBK90956
C11239,CBK90230
C11239,CBK90956
C11239,CBK90959
C11264,STM91210
C11265,CBK91269
C11266,CBK91260
C11267,CBK91809
C11268,CBK91757
C11268,STM91273
C11270,STM91396
C11272,STM91221
C11274,STM91480
C11275,STM91569
C11276,STM91269
C11277,STM91275
C11280,CBK91802
C11280,CBK91805
C11281,CBK91773
C11283,STM91289
C11285,CBK91765
C11285,CBK91766
C11287,CBK91766
C11287,STM91291
C11289,CBK91772
C11289,STM91295
C11297,CBK91828
C11297,CBK91829
C11297,CBK91830
C11297,STM91382
C11299,STM91760
C11300,STM91675
C11303,STM91436
C11304,STM91437
C11305,CBK91894
C11307,STM91461
C11326,STM91476
C11326,STM91477
C11327,CBK91995
C11327,STM91730
C11328,CBK91997
C11329,CBK91998
C11331,STM91574
C11333,STM91575
C11335,CBK92020
C11335,STM91566
C11342,CBK92024
C11344,CBK92039
C11346,CBK92052
C11346,STM91637
C11351,CBK92157
C11351,STM91723
C11353,STM91729
C11354,CBK92183
C11355,CBK92222
C11357,STM91784
C11358,STM91791
C11359,STM91796
C11360,STM91794
C11361,STM91795
C11362,STM91805
C20056,STM90990
C20059,CBK91856
C20061,CBK92125
C22033,CBK92026
C22100,STM91594
